,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
80,Laura Oatman,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0.0,-4.1799998,3.01,No,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
81,Michael Kotick,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0.0,-4.1799998,3.26,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
82,Omar Siddiqui,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0.0,-4.1799998,10.81,No,1.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
83,Rachel Payne,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0.0,-4.1799998,4.4899998,No,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
84,Tony Zarkades,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0.0,-4.1799998,1.6,No,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
85,Douglas Applegate,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,0.0,1.42,25.76,No,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4
86,Mike Levin,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,None,1.0,1.42,34.400002,Yes,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
87,Paul Kerr,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,0.0,1.42,8.75,No,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
88,Sara Jacobs,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,0.0,1.42,31.09,No,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
89,Ammar Campa-Najjar,CA,U.S. House California District 50,Representative,Regular,6/5/18,Advanced,None,1.0,-19.48,48.360001,Yes,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3
90,Josh Butner,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,None,0.0,-19.48,35.509998,No,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
91,Patrick Malloy,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,None,0.0,-19.48,16.129999,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
92,Marge Doyle,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,59.610001,,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
93,Rita Ramirez,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,27.67,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
94,Ronald O'Donnell,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,12.71,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
