,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
283,Betsy Sweet,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,16.459999,No,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
284,Diane Russell,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,2.1600001,No,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
285,Donna Dion,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,1.27,No,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
286,Janet T. Mills,ME,Governor of Maine,Governor,Regular,6/12/18,Advanced,None,1.0,3.51,33.09,Yes,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
287,Mark Dion,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,4.1199999,No,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
288,Mark Eves,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,14.18,No,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7
293,Abdul El-Sayed,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,0.0,-0.33000001,30.5,No,1.0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,3
294,Gretchen Whitmer,MI,Governor of Michigan,Governor,Regular,8/7/18,Advanced,None,1.0,-0.33000001,51.799999,Yes,0.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
295,Shri Thanedar,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,0.0,-0.33000001,17.700001,No,1.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
383,Bob Krist,NE,Governor of Nebraska,Governor,Regular,5/15/18,Advanced,None,1.0,-26.76,59.810001,Yes,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
384,Tyler Davis,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,0.0,-26.76,11.39,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
385,Vanessa Ward,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,0.0,-26.76,28.799999,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
410,Jeff Apodaca,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,0.0,6.1599998,22.16,No,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
411,Joseph Cervantes,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,0.0,6.1599998,11.47,No,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
412,Michelle Lujan Grisham,NM,Governor of New Mexico,Governor,Regular,6/5/18,Advanced,None,1.0,6.1599998,66.379997,Yes,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
421,Asheesh Dewan,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,0.0,0.94999999,1.01,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
422,Chris Giunchigliani,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,0.0,0.94999999,38.860001,No,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6
423,David Jones,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,0.0,0.94999999,1.73,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
424,Henry Thorns,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,0.0,0.94999999,1.9,No,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
425,John Bonaventura,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,0.0,0.94999999,2.99,No,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
426,Steve Sisolak,NV,Governor of Nevada,Governor,Regular,6/12/18,Advanced,None,1.0,0.94999999,50.029999,Yes,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
490,Dennis J. Kucinich,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,0.0,-7.8899999,22.98,No,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
491,Joseph Schiavoni,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,0.0,-7.8899999,9.1700001,No,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
492,Larry Ealy,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,0.0,-7.8899999,1.02,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
493,Paul Ray,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,0.0,-7.8899999,1.38,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
494,Richard Cordray,OH,Governor of Ohio,Governor,Regular,5/8/18,Advanced,None,1.0,-7.8899999,62.16,Yes,0.0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,6
495,William O'Neill,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,0.0,-7.8899999,3.29,No,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
537,Constance Johnson,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,0.0,-38.209999,38.619999,No,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
538,Drew Edmondson,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Advanced,None,1.0,-38.209999,61.380001,Yes,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
610,James Smith Jr.,SC,Governor of South Carolina,Governor,Regular,6/12/18,Advanced,None,1.0,-15.85,61.810001,Yes,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3
611,Marguerite Willis,SC,Governor of South Carolina,Governor,Regular,6/12/18,Lost,None,0.0,-15.85,27.549999,No,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
612,Phil Noble,SC,Governor of South Carolina,Governor,Regular,6/12/18,Lost,None,0.0,-15.85,10.64,No,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
635,Craig Fitzhugh,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,0.0,-27.139999,19.42,No,0.0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
636,Karl Dean,TN,Governor of Tennessee,Governor,Regular,8/2/18,Advanced,None,1.0,-27.139999,75.139999,Yes,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
637,Mezianne Vale Payne,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,0.0,-27.139999,5.4400001,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
657,Adrian Ocegueda,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,4.4000001,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
658,Andrew White,TX,Governor of Texas,Governor,Regular,3/6/18,Advanced,Lost,0.0,-13.23,27.4,No,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
659,Cedric Davis,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,8.2399998,No,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
660,Grady Yarbrough,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,5.3699999,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
661,James Clark,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,2.1500001,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
662,Jeffrey Payne,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,4.75,No,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
663,Joe Mumbach,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,1.36,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
664,Lupe Valdez,TX,Governor of Texas,Governor,Regular,3/6/18,Advanced,Advanced,1.0,-13.23,42.91,Yes,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
665,Thomas Wakely,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,3.4100001,No,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
