,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,General Status,CAND_CONTRIB,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,INDIV_REFUNDS,CMTE_REFUNDS,CVG_END_DT,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?
105,TOBI BECK,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Advanced,On the Ballot,11237.42,5000.0,500.0,0.0,0.0,12/31/2018,,,,,,,,,,
106,KYLE MOORE,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,,1050.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,,,,,,
107,SEAN DUGDALE,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,,0.0,0.0,0.0,0.0,0.0,03/31/2018,,,,,,,,,,
108,JEANNINE LAKE,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Advanced,On the Ballot,898.27,3415.29,370.04,2371.0,0.0,12/31/2018,,,,,,,,,,
109,WILLIAM TANOOS,IN,U.S. House Indiana District 8,Representative,Regular,5/8/18,Advanced,On the Ballot,4375.82,27075.0,8500.0,0.05,500.0,11/29/2018,,,,,,,,,,
110,LIZ WATSON,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Advanced,On the Ballot,2286.26,306990.92,2500.0,14395.5,1600.0,12/31/2018,Yes,,Yes,,,No,Yes,,Yes,
111,ALAN LAPOLICE,KS,U.S. House Kansas District 1,Representative,Regular,8/7/18,Advanced,On the Ballot,0.0,0.0,0.0,4500.0,0.0,12/31/2018,,,,,,,,,,
112,PAUL DAVIS,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,On the Ballot,8355.6,550232.5,5150.0,8147.53,0.0,12/31/2018,,,,,,,,,,
113,PAUL DAVIS,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,On the Ballot,2629.8,0.0,0.0,0.0,0.0,07/17/2018,,,,,,,,,,
114,PAUL DAVIS,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,On the Ballot,8355.6,550232.5,5150.0,8147.53,0.0,12/31/2018,,,,,,,,,,
115,PAUL DAVIS,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,On the Ballot,2629.8,0.0,0.0,0.0,0.0,07/17/2018,,,,,,,,,,
116,PAUL DAVIS,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,8355.6,550232.5,5150.0,8147.53,0.0,12/31/2018,,,,,,,,,No,No
117,PAUL DAVIS,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,2629.8,0.0,0.0,0.0,0.0,07/17/2018,,,,,,,,,No,No
118,PAUL DAVIS,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,8355.6,550232.5,5150.0,8147.53,0.0,12/31/2018,,,,,,,,,No,No
119,PAUL DAVIS,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,,2629.8,0.0,0.0,0.0,0.0,07/17/2018,,,,,,,,,No,No
120,BRENT WELDER,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,,2032.26,70122.66,0.0,59699.12,11500.0,12/31/2018,No,,,Yes,Yes,Yes,Yes,No,,
121,JAY SIDIE,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,,3100.0,0.0,0.0,6043.66,0.0,12/31/2018,No,,,No,No,No,No,No,,
