,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
636,Karl Dean,TN,Governor of Tennessee,Governor,Regular,8/2/18,Advanced,None,1.0,-27.139999,75.139999,Yes,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,Mezianne Vale Payne,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,0.0,-27.139999,5.4400001,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,Adrian Ocegueda,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,4.4000001,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,Andrew White,TX,Governor of Texas,Governor,Regular,3/6/18,Advanced,Lost,0.0,-13.23,27.4,No,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
659,Cedric Davis,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,8.2399998,No,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,Grady Yarbrough,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,5.3699999,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,James Clark,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,2.1500001,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,Jeffrey Payne,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,4.75,No,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,Joe Mumbach,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,1.36,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,Lupe Valdez,TX,Governor of Texas,Governor,Regular,3/6/18,Advanced,Advanced,1.0,-13.23,42.91,Yes,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,Thomas Wakely,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,0.0,-13.23,3.4100001,No,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
